system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,.geo
00000000000000000690_0,3657.0,2702.0,1936.0,2272.0,2662.0,4044.0,0.2060841,17.1,-20.082330603177134,-12.52405065203082,0.6236353190027379,7.558279951146314,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.049762919512677,49.38888024748503]}"
00000000000000000705_0,4409.5,3535.5,1762.0,2194.0,2410.0,3999.5,0.24799126,12.2,-19.949337391815007,-11.964134992640616,0.599725933631729,7.985202399174391,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.177961659120236,49.69251081351742]}"
0000000000000000071b_0,2965.0,2313.0,1426.0,1704.0,1652.0,4037.0,0.4192301,14.8,-18.928917706858645,-12.66990346094175,0.669341145497768,6.2590142459168945,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.322585845581628,50.27372080234275]}"
0000000000000000073d_0,3281.0,2412.0,1612.0,1906.0,1874.0,4042.0,0.36646384,14.4,-19.82565089388296,-13.414898315233891,0.6766435254528238,6.410752578649067,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.147418939460172,48.397499499930724]}"
00000000000000000780_0,3562.0,2740.5,1735.0,2086.0,1983.5,4500.0,0.38813913,12.7,-20.385741181874298,-12.298572919330907,0.6032929001505235,8.087168262543392,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.033346621222547,53.262864910250464]}"
00000000000000000791_0,3536.0,2684.0,1542.0,1856.0,1797.0,4228.0,0.40348548,12.5,-19.523836032681814,-9.01689693364585,0.46184043538124714,10.506939099035964,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.512839874194439,49.832827660896896]}"
00000000000000000793_0,3500.0,2631.0,1432.0,1794.0,1788.0,4304.0,0.41300064,18.6,-17.341602231431175,-8.180611522623483,0.47173331584069844,9.160990708807692,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.719811715655577,50.41080371469939]}"
000000000000000007d1_0,3772.0,2856.0,1778.0,2171.0,2285.0,4604.5,0.33667174,12.7,-19.573839544869543,-12.928367376323747,0.6604921505914957,6.645472168545796,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.385193846602906,51.171497097291805]}"
000000000000000007fb_0,3387.0,2718.0,1617.0,1912.0,2021.0,3887.0,0.31584293,13.7,-20.728280675118423,-13.356667146108398,0.6443692728524909,7.371613529010025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.248133805655524,53.30948747349626]}"
00000000000000000838_0,3466.0,3015.0,1741.0,1986.0,2172.0,3805.0,0.27321398,13.8,-19.84920780686043,-9.781595852065673,0.4927952766298756,10.067611954794758,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.131514184649404,52.16171003497675]}"
000000000000000008a9_0,3309.0,2886.0,1726.0,1974.0,1992.0,3501.0,0.27471328,10.5,-20.907204924463446,-13.345097525823856,0.6383013690275167,7.56210739863959,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.920850101959675,51.92778873499203]}"
000000000000000008bb_0,3828.0,3230.5,1872.5,2113.0,2375.0,4486.0,0.30768108,12.8,-21.677111263632757,-13.739722580920478,0.6338354965207623,7.937388682712278,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.077880187905619,52.23007182809825]}"
000000000000000008d1_0,2868.0,2122.0,1506.0,1896.0,1730.0,4176.0,0.4141551,8.2,-19.516770421658613,-12.942807790459621,0.6631633979818926,6.573962631198992,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.3460181516515926,50.315312799997486]}"
000000000000000008f0_0,4011.0,3143.0,2138.0,2578.0,3232.0,4808.0,0.1960199,20.8,-20.61596553218856,-12.567426051461139,0.6095967725517922,8.048539480727422,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.18477513243399,49.68415648137511]}"
0000000000000000092d_0,3501.0,3000.5,1416.5,1609.0,1748.5,2947.0,0.25524437,19.1,-20.579763213789114,-9.588307293752646,0.4659095050874136,10.991455920036469,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.836336930851433,51.680033379631865]}"
0000000000000000068e_0,3390.0,2415.0,1408.0,1683.0,1634.0,3845.0,0.4035408,18.1,-18.04348319715395,-11.286933541731074,0.6255407239502068,6.7565496554228766,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.832460452284165,49.2609601510264]}"
000000000000000006c4_0,3431.5,2569.0,1808.0,2145.0,2761.0,5118.0,0.29914963,14,-18.726259950027206,-13.078413031904441,0.6983996306152656,5.647846918122765,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.54303699058641,48.9685585260455]}"
000000000000000006f2_0,4530.0,3401.0,1723.0,1988.0,2152.0,3993.0,0.29959315,20.6,-22.103379074044273,-15.635302448256589,0.707371592184153,6.468076625787685,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.782258350747437,49.540695530501225]}"
000000000000000006f6_0,3194.5,2426.5,1767.5,2172.0,2150.0,4997.0,0.39834896,22,-18.364734225935123,-11.2325065831177,0.6116345842487,7.132227642817423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.232763465733377,49.1188466730787]}"
00000000000000000737_0,3022.0,2198.0,1420.0,1701.0,1586.0,4022.0,0.43437946,29.6,-19.168056511833257,-10.245669986027577,0.5345179350709076,8.92238652580568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.822049143552082,48.31045274889954]}"
0000000000000000074e_0,3915.0,3195.0,1615.0,1903.0,2154.0,3320.0,0.21300694,5.3,-21.357635513013122,-13.037124856176032,0.6104198588946124,8.32051065683709,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.382153297482454,52.15578115410156]}"
000000000000000007f9_0,2988.5,2211.5,1593.0,2096.0,2113.0,5158.0,0.41878697,6,-17.542115129034066,-10.680649533299842,0.6088575667607056,6.861465595734224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.265646379414004,53.42986172156828]}"
00000000000000000840_0,3523.5,2789.0,1543.5,1794.5,1849.5,4153.0,0.38375676,17.9,-19.050349695657943,-12.468495410514095,0.6545021802595036,6.581854285143848,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.932712437991905,53.39725287675474]}"
00000000000000000916_0,3551.5,2656.0,1583.5,1840.0,2234.0,3954.0,0.27795735,15,-22.627662352686706,-15.004142208258958,0.6630884788007028,7.623520144427747,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.317020865101938,51.72297285021278]}"
000000000000000007f0_0,4049.0,3553.0,1693.0,1932.0,2102.0,3436.0,0.24088119,17.7,-21.070176474150422,-13.940436358812997,0.6616193450451436,7.129740115337425,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.96641298399194,53.332035187127666]}"
00000000000000000846_0,2752.5,2106.0,1636.0,1848.0,1735.5,4236.0,0.41873902,22.3,-20.61412575111719,-11.507679231894599,0.5582424096384945,9.10644651922259,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.472510092219323,53.50864397198556]}"
00000000000000000937_0,3246.5,2297.0,1546.0,1818.5,1938.0,3492.0,0.28618786,10.1,-20.985843751362804,-13.279981190045905,0.6328066361012297,7.7058625613168985,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.106190842200938,52.50262068530011]}"
000000000000000006d2_0,3090.0,2258.0,1449.5,1779.0,1659.0,4308.0,0.44394168,22.7,-19.82767737814362,-11.3194450851174,0.5708911270462275,8.50823229302622,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.393561901590772,47.909534637597]}"
000000000000000008af_0,2760.0,2456.0,1546.0,1726.0,1970.0,3500.0,0.2797075,14.3,-19.569019490135492,-11.808601149932933,0.6034334605208762,7.760418340202559,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.247567370793945,51.753246075287606]}"
000000000000000006a9_0,3322.0,2673.0,1614.0,2062.0,2282.0,4348.0,0.3116139,14.4,-18.500417480879577,-12.020493546138443,0.6497417454801644,6.479923934741134,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.397860092108992,47.95193511900744]}"
000000000000000006af_0,3014.0,2295.0,1432.0,1763.0,1778.0,4537.0,0.43689626,13.7,-18.145462489813653,-10.72182519976113,0.5908818915902561,7.423637290052524,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.664569899964079,48.09701303739274]}"
000000000000000006b1_0,3193.0,2455.0,1622.0,1982.0,2116.0,4143.0,0.32385364,13.2,-18.880602610645177,-11.20494909047007,0.5934635308807646,7.675653520175107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.718738311596486,48.00718150898079]}"
000000000000000006f0_0,3540.5,2652.0,1798.0,2377.0,2550.0,4594.0,0.28611422,18.1,-18.285958404664953,-10.676630774068956,0.5838704506374262,7.609327630595997,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.685060637005705,49.128458646618775]}"
000000000000000006fb_0,3892.0,2864.0,1706.0,2072.0,2500.0,4336.0,0.2685781,13,-18.606206070343763,-12.144525974329053,0.6527137197349483,6.46168009601471,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.408473935307157,49.34917471192694]}"
0000000000000000070e_0,3552.0,2663.0,1457.0,1695.0,1747.0,3364.0,0.31637645,25.1,-19.511967382832278,-12.253487852550304,0.6279985822101983,7.258479530281974,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.80776593053458,49.102227840322485]}"
00000000000000000743_0,4874.0,4527.0,2106.0,2472.0,2914.0,4056.0,0.16384505,6.4,-24.300041750849175,-16.96346787443694,0.6980838983062301,7.336573876412235,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.066664969699678,52.91683386280762]}"
00000000000000000744_0,4088.0,3489.0,1727.0,2056.0,2208.0,3944.0,0.28218466,13.1,-20.795411378563877,-13.395481404956424,0.6441556341974857,7.399929973607453,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.145626883173785,53.311014609479265]}"
00000000000000000758_0,3284.0,2639.5,1481.5,1679.0,1658.0,3445.0,0.35018617,20.1,-20.080968862266573,-12.988103961528463,0.6467867188387479,7.09286490073811,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.674105764821299,52.635122189707744]}"
00000000000000000781_0,3418.0,2457.5,1488.5,1765.5,1668.0,3903.5,0.40123844,33.4,-19.875179410088705,-12.639472269569612,0.6359425496885717,7.235707140519093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.902012926684273,51.467581814937596]}"
00000000000000000794_0,3867.0,2901.0,1692.0,2124.0,2176.0,4805.0,0.37659362,21.4,-17.319228517670457,-10.798285279169793,0.623485351449259,6.520943238500664,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.762930849293314,49.83579210133449]}"
000000000000000007f4_0,2897.5,2122.0,1488.5,1733.5,1662.0,4282.0,0.4407806,11.6,-19.623086656472687,-12.26082850444115,0.6248165092007535,7.362258152031536,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.52552441682793,53.64536755822856]}"
0000000000000000081c_0,3060.5,2457.0,1668.0,1949.5,2133.0,3975.0,0.3015717,13.1,-19.710325900703833,-13.71868650816166,0.6960152042778645,5.991639392542172,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.624500464010495,52.69306352553345]}"
00000000000000000826_0,3162.0,2654.5,1438.0,1664.0,1744.0,3757.5,0.3659911,9.4,-18.922759126877455,-12.612433852369334,0.6665219256770499,6.310325274508122,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.09584649358801,52.787476461894414]}"
00000000000000000878_0,3471.0,2646.0,1542.0,1752.0,1828.0,4044.0,0.3773842,37.9,-18.40856555681228,-11.625176162052677,0.631509072565986,6.783389394759604,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.952111473847034,53.15093482584917]}"
0000000000000000089a_0,3351.0,2361.5,1539.5,1783.0,1887.0,3774.5,0.3333922,17.3,-17.347021778370422,-8.50203063664662,0.4901147150946449,8.844991141723803,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.923630305058594,51.61813945655603]}"
000000000000000008a0_0,3109.5,2525.5,1768.5,1968.5,2201.0,4438.0,0.33694834,12.2,-18.129609572084775,-11.967059660387198,0.6600836941802423,6.162549911697576,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.321314481338306,51.735818758775686]}"
000000000000000008a7_0,3515.0,2754.0,1634.0,1939.0,2268.0,3735.0,0.2443778,12.2,-19.849727423253118,-12.31868179174699,0.6205970252929607,7.531045631506128,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.800206359302423,52.015464306722095]}"
000000000000000008ed_0,3385.0,2592.0,1584.0,2122.0,2112.0,4384.0,0.3497537,14.2,-16.782334753076242,-9.80542482526853,0.5842706017689924,6.9769099278077125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.042481991429458,49.0880344588334]}"
000000000000000008ef_0,3761.0,3226.0,2056.0,2526.0,3186.0,5020.0,0.223495,15,-21.977037390568242,-12.312325003271633,0.5602358855045513,9.664712387296609,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.045536263395464,49.69978716731879]}"
00000000000000000911_0,3010.0,2340.0,1359.5,1538.5,1502.5,3004.0,0.3331854,23.2,-19.8904281697849,-11.519743452871534,0.57916015454966,8.370684716913367,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.222428265684153,51.43632044305024]}"
00000000000000000913_0,3736.0,3164.5,1532.0,1790.0,1870.0,3787.0,0.3388722,21.1,-18.24011389860116,-10.39801477846121,0.5700630399714027,7.842099120139949,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.235543668832298,51.921590359531606]}"
0000000000000000091a_0,3294.0,2603.0,1730.0,2040.0,2226.0,3900.0,0.27326152,11.1,-20.652627083959338,-14.782510697592642,0.715769022386215,5.870116386366696,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.393736990365745,52.33337808577199]}"
00000000000000000944_0,3818.0,3108.0,1472.0,1725.0,1840.0,3282.0,0.28153065,9.1,-17.730579747353666,-11.739068841484926,0.6620803723711861,5.99151090586874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.886916655629213,51.82079938465339]}"
00000000000000000949_0,3530.0,2901.0,1604.0,1754.0,1880.0,3532.0,0.3052476,21.7,-18.850471401004313,-11.508889093393504,0.6105358772502811,7.341582307610809,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.058027420126576,54.53056743919993]}"
0000000000000000094e_0,3781.0,3255.0,1750.0,2170.0,2278.0,4124.0,0.2883474,11.4,-18.717798206201845,-10.219885731025606,0.545998285612429,8.49791247517624,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.310184520378927,54.2266673785823]}"
00000000000000000953_0,2890.0,2596.0,1355.0,1662.0,1500.0,3278.0,0.37212223,28.8,-18.96687436163085,-10.69797525665744,0.564034698215694,8.26889910497341,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.460203172826887,54.47909397341988]}"
00000000000000000957_0,3179.0,2429.0,1440.0,1842.0,1771.0,3878.0,0.37298638,17.8,-17.158567199156572,-9.32443922112423,0.5434276133255795,7.834127978032342,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.551202511108194,54.62318374499265]}"
00000000000000000959_0,3080.0,2317.0,1380.0,1630.0,1514.0,3604.0,0.40836263,24.7,-19.076263438929733,-12.473437865200765,0.6538721749745653,6.602825573728968,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.647412078037394,54.22810468303689]}"
0000000000000000095d_0,3427.0,2480.0,1550.0,1798.0,1944.0,4082.0,0.35479587,9.9,-19.93740719036687,-11.615198846242864,0.5825832183361819,8.322208344124006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.73778259561982,54.479992288704004]}"
000000000000000006a7_0,3424.0,2476.0,1542.0,1888.0,1928.0,4700.0,0.4182257,18.7,-17.472291659343135,-11.927277756344779,0.682639575213752,5.545013902998356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.339020440999164,48.365519475816065]}"
000000000000000008bf_0,3276.5,2569.0,1461.5,1720.5,1711.0,4295.0,0.43023643,15.6,-15.26163253740783,-8.948645578053684,0.5863491704520885,6.312986959354147,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.229246313279758,51.94359908399253]}"
00000000000000000971_0,3204.0,2510.5,1563.5,1792.5,2047.5,4146.0,0.33882296,19.2,-20.260178443070803,-12.171688055050566,0.6007690450136886,8.088490388020237,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.156936507189988,51.065136567652054]}"
0000000000000000074b_0,3623.0,3036.5,1466.0,1813.5,1808.0,4226.0,0.4007292,7.9,-18.462798093381835,-10.318428123668431,0.5588767245072765,8.144369969713404,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.36867856822066,53.00118566798645]}"
0000000000000000081b_0,2881.0,2095.0,1561.0,1780.0,1922.0,4431.0,0.39493152,39.6,-22.195928787780918,-13.603112821942387,0.6128652219064172,8.59281596583853,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.423277840367723,52.528761660067985]}"
0000000000000000091f_0,3351.0,2571.0,1603.0,1846.0,1840.0,4120.0,0.38255033,9,-16.616555430264132,-10.543133909446645,0.634495756578056,6.073421520817487,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.467848001305605,52.799873212815264]}"
