system:index,B11,B12,B2,B3,B4,B8,NDVI,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,slope,.geo
00000000000000000690_0,3657.0,2702.0,1936.0,2272.0,2662.0,4044.0,0.2060841,17.1,-20.963134403681526,-12.180919196590615,0.5810638314875,8.78221520709091,285,255,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.049762919512677,49.38888024748503]}"
00000000000000000705_0,4409.5,3535.5,1762.0,2194.0,2410.0,3999.5,0.24799126,12.2,-20.332443775926773,-13.511544833157965,0.6645312773054549,6.8208989427688085,297,387,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.177961659120236,49.69251081351742]}"
0000000000000000071b_0,2965.0,2313.0,1426.0,1704.0,1652.0,4037.0,0.4192301,14.8,-17.222404554948447,-11.363002789194574,0.6597802735930789,5.859401765753873,108,300,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.322585845581628,50.27372080234275]}"
0000000000000000073d_0,3281.0,2412.0,1612.0,1906.0,1874.0,4042.0,0.36646384,14.4,-18.077117242873463,-11.047006801960396,0.6111044506454952,7.030110440913067,0,495,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.147418939460172,48.397499499930724]}"
00000000000000000780_0,3562.0,2740.5,1735.0,2086.0,1983.5,4500.0,0.38813913,12.7,-19.120278870697963,-10.420796658521622,0.545012796570222,8.69948221217634,121,61,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.033346621222547,53.262864910250464]}"
00000000000000000791_0,3536.0,2684.0,1542.0,1856.0,1797.0,4228.0,0.40348548,12.5,-19.507505479032446,-8.127689703746299,0.41664423534225375,11.379815775286147,322,90,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.512839874194439,49.832827660896896]}"
00000000000000000793_0,3500.0,2631.0,1432.0,1794.0,1788.0,4304.0,0.41300064,18.6,-16.790541941723635,-8.375634543358045,0.4988305066285575,8.41490739836559,123,153,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.719811715655577,50.41080371469939]}"
000000000000000007d1_0,3772.0,2856.0,1778.0,2171.0,2285.0,4604.5,0.33667174,12.7,-19.618728882229902,-12.323842646470963,0.6281672334864444,7.2948862357589395,202,221,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.385193846602906,51.171497097291805]}"
000000000000000007fb_0,3387.0,2718.0,1617.0,1912.0,2021.0,3887.0,0.31584293,13.7,-19.239946919217296,-11.484174998507195,0.5968922391899397,7.755771920710101,90,33,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.248133805655524,53.30948747349626]}"
00000000000000000811_0,3306.0,2505.0,1596.0,1963.0,1764.0,4672.0,0.45183343,9.7,-17.93060804908974,-11.147537660676292,0.6217043856046033,6.783070388413449,301,77,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.661071044637863,52.393565209808]}"
00000000000000000838_0,3466.0,3015.0,1741.0,1986.0,2172.0,3805.0,0.27321398,13.8,-19.96433740827591,-11.193486109314055,0.5606740599702531,8.770851298961855,270,102,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.131514184649404,52.16171003497675]}"
000000000000000008a9_0,3309.0,2886.0,1726.0,1974.0,1992.0,3501.0,0.27471328,10.5,-19.90081077998161,-12.891294895743094,0.6477773713978806,7.0095158842385175,58,55,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.920850101959675,51.92778873499203]}"
000000000000000008bb_0,3828.0,3230.5,1872.5,2113.0,2375.0,4486.0,0.30768108,12.8,-21.851161701024356,-12.468821424588114,0.5706251042938184,9.382340276436242,0,95,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.077880187905619,52.23007182809825]}"
000000000000000008bd_0,2843.5,2286.0,1395.5,1586.5,1636.0,4396.5,0.45760465,15.8,-17.729820079524043,-11.701290797168928,0.6599779774800202,6.028529282355114,28,194,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.178581331255417,51.52974523259867]}"
000000000000000008d1_0,2868.0,2122.0,1506.0,1896.0,1730.0,4176.0,0.4141551,8.2,-16.989136442157488,-11.644159285037277,0.685388531941095,5.34497715712021,152,205,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[7.3460181516515926,50.315312799997486]}"
000000000000000008f0_0,4011.0,3143.0,2138.0,2578.0,3232.0,4808.0,0.1960199,20.8,-20.50627801334245,-11.596041649453218,0.5654873908326139,8.910236363889231,270,255,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.18477513243399,49.68415648137511]}"
00000000000000000917_0,2435.5,1726.5,1322.5,1465.0,1371.5,4518.0,0.53425586,16.6,-19.90211384330169,-12.549490508558675,0.6305606835216835,7.352623334743017,39,164,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.339029589562866,51.489051550228055]}"
0000000000000000092d_0,3501.0,3000.5,1416.5,1609.0,1748.5,2947.0,0.25524437,19.1,-19.14878454381229,-10.843455628122284,0.5662738333763446,8.305328915690007,0,70,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.836336930851433,51.680033379631865]}"
0000000000000000068e_0,3390.0,2415.0,1408.0,1683.0,1634.0,3845.0,0.4035408,18.1,-17.714256945634943,-9.9579071450876,0.5621408324181149,7.756349800547344,37,165,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.832460452284165,49.2609601510264]}"
000000000000000006c4_0,3431.5,2569.0,1808.0,2145.0,2761.0,5118.0,0.29914963,14,-18.258709082102122,-12.21425568944727,0.6689550523273382,6.044453392654852,0,486,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.54303699058641,48.9685585260455]}"
000000000000000006f2_0,4530.0,3401.0,1723.0,1988.0,2152.0,3993.0,0.29959315,20.6,-21.308609624492153,-15.068014811403305,0.7071327072454368,6.240594813088848,38,400,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.782258350747437,49.540695530501225]}"
000000000000000006f6_0,3194.5,2426.5,1767.5,2172.0,2150.0,4997.0,0.39834896,22,-19.23521982918696,-12.048990202527829,0.6264025214957535,7.186229626659131,246,505,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.232763465733377,49.1188466730787]}"
00000000000000000737_0,3022.0,2198.0,1420.0,1701.0,1586.0,4022.0,0.43437946,29.6,-17.344428896690985,-9.698402251083063,0.5591652690814944,7.646026645607922,124,498,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.822049143552082,48.31045274889954]}"
00000000000000000739_0,3370.0,2231.0,1326.0,1624.0,1292.0,6580.0,0.671748,54.7,-17.83087236106962,-10.424095532200399,0.5846093966192851,7.406776828869221,0,425,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.907389095543436,48.56171153386777]}"
0000000000000000074e_0,3915.0,3195.0,1615.0,1903.0,2154.0,3320.0,0.21300694,5.3,-20.405032018619128,-13.369690087127369,0.6552153446722274,7.035341931491759,238,135,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.382153297482454,52.15578115410156]}"
00000000000000000795_0,3172.0,2263.0,1552.0,1942.0,1712.0,5583.0,0.53063744,16.9,-15.943984250409914,-8.561225954784653,0.5369564984714876,7.38275829562526,303,134,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.777483556896051,50.357533618351106]}"
000000000000000007f9_0,2988.5,2211.5,1593.0,2096.0,2113.0,5158.0,0.41878697,6,-17.7132204445955,-10.712555038492448,0.6047773792461871,7.000665406103051,140,86,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.265646379414004,53.42986172156828]}"
00000000000000000840_0,3523.5,2789.0,1543.5,1794.5,1849.5,4153.0,0.38375676,17.9,-19.066523281711262,-12.251495832708851,0.6425658024638697,6.815027449002411,320,20,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.932712437991905,53.39725287675474]}"
00000000000000000916_0,3551.5,2656.0,1583.5,1840.0,2234.0,3954.0,0.27795735,15,-21.812882608381752,-13.563075647687686,0.6217919883030948,8.249806960694066,338,170,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.317020865101938,51.72297285021278]}"
000000000000000007f0_0,4049.0,3553.0,1693.0,1932.0,2102.0,3436.0,0.24088119,17.7,-20.34272079162669,-12.14328195008264,0.5969349957888113,8.19943884154405,0,57,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.96641298399194,53.332035187127666]}"
