system:index,B11_au,B11_sp,B12_au,B12_sp,B2_au,B2_sp,B3_au,B3_sp,B4_au,B4_sp,B8_au,B8_sp,BSI_au,BSI_sp,NDVI_au,NDVI_sp,OC,VH,VV,VV_div_VH,VV_minus_VH,aspect,elev,hillshade,slope,.geo
00000000000000000690_0,1358.0,3255.0,1290.0,2359.0,1194.0,1457.0,1247.0,1838.0,1272.0,1740.0,1384.0,4484.0,0.009984639016897081,-0.08650329188002927,0.042168673,0.44087404,17.1,-20.963134403681526,-12.180919196590615,0.5810638314875,8.78221520709091,285,255,203,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.049762919512677,49.38888024748503]}"
0000000000000000071b_0,2929.0,3945.0,2522.0,3732.0,1564.0,1919.0,1794.0,2285.0,2080.0,2710.0,2482.0,3338.5,0.1063500828271673,0.1173137460650577,0.088119246,0.10391006,14.8,-17.222404554948447,-11.363002789194574,0.6597802735930789,5.859401765753873,108,300,171,3,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.322585845581628,50.27372080234275]}"
0000000000000000073d_0,2319.5,4007.5,1636.5,3435.5,1213.0,1855.5,1573.5,2248.0,1391.5,2607.0,4123.0,4017.0,-0.17961755277992705,0.05942179867061744,0.49533048,0.21286231,14.4,-18.077117242873463,-11.047006801960396,0.6111044506454952,7.030110440913067,0,495,180,5,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.147418939460172,48.397499499930724]}"
00000000000000000780_0,4181.0,4238.5,3967.0,3641.5,1961.0,1914.0,2244.0,2290.0,2572.0,2489.0,4088.0,4556.0,0.054991407592563664,0.019511271074067058,0.22762764,0.29339957,12.7,-19.120278870697963,-10.420796658521622,0.545012796570222,8.69948221217634,121,61,175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.033346621222547,53.262864910250464]}"
00000000000000000791_0,3686.5,3720.5,3503.5,3712.5,1623.0,1694.5,1819.0,1885.5,2147.0,2180.0,2699.0,2745.0,0.1488356063216976,0.14129593810444874,0.11390838,0.114720814,12.5,-19.507505479032446,-8.127689703746299,0.41664423534225375,11.379815775286147,322,90,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.512839874194439,49.832827660896896]}"
00000000000000000793_0,3237.0,3905.5,2830.0,3691.5,1444.0,1816.0,1655.0,2122.0,1950.0,2512.0,2636.0,3211.0,0.1194561346714147,0.12149941019703787,0.1495857,0.12213874,18.6,-16.790541941723635,-8.375634543358045,0.4988305066285575,8.41490739836559,123,153,176,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[8.719811715655577,50.41080371469939]}"
000000000000000007d1_0,4243.0,4104.5,3650.0,3446.5,2533.0,1921.5,2797.0,2306.0,3101.0,2526.0,4072.0,3936.0,0.05297870815112195,0.06189942344650865,0.13536875,0.2181987,12.7,-19.618728882229902,-12.323842646470963,0.6281672334864444,7.2948862357589395,202,221,185,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[9.385193846602906,51.171497097291805]}"
000000000000000007fb_0,3197.0,3801.5,2561.0,3081.5,1680.0,1650.5,1982.0,2007.0,2020.0,2112.0,3810.0,4274.0,-0.02549733818996918,-9.292110153742186E-4,0.3070326,0.33855307,13.7,-19.239946919217296,-11.484174998507195,0.5968922391899397,7.755771920710101,90,33,175,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.248133805655524,53.30948747349626]}"
00000000000000000811_0,2928.0,4147.5,2218.0,3381.0,1353.0,2008.0,1610.0,2405.0,1540.0,2825.0,3150.0,3810.0,-0.003901460260840486,0.09026230405378992,0.3432836,0.14845516,9.7,-17.93060804908974,-11.147537660676292,0.6217043856046033,6.783070388413449,301,77,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.661071044637863,52.393565209808]}"
00000000000000000838_0,3125.0,4170.0,2626.0,4064.0,1597.0,2254.0,1950.0,2653.0,2206.0,3046.0,2925.0,3905.5,0.08210697249568659,0.0789877013943404,0.14012863,0.12364238,13.8,-19.96433740827591,-11.193486109314055,0.5606740599702531,8.770851298961855,270,102,185,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.131514184649404,52.16171003497675]}"
